x,y, z,Date,rain
9,6,2,9/30/08,0.78
10,6,2,10/31/08,2.43
11,6,2,11/30/08,4.65
12,6,2,12/31/08,4.11
1,7,2,1/31/09,3.33
2,7,2,2/28/09,2.07
3,7,2,3/31/09,3.8
4,7,2,4/30/09,2.86
5,7,2,5/31/09,3.76
6,7,2,6/30/09,0.2
7,7,2,7/31/09,0.2
8,7,2,8/31/09,0.77
9,7,2,9/30/09,2.46
10,7,2,10/31/09,5.3
11,7,2,11/30/09,8.41
12,7,2,12/31/09,2.19
1,8,2,1/31/10,6.41
2,8,2,2/28/10,2.83
3,8,2,3/31/10,3.1
4,8,2,4/30/10,2.75
5,8,2,5/31/10,3.53
6,8,2,6/30/10,2.26
7,8,2,7/31/10,0.12
8,8,2,8/31/10,0.73
9,8,2,9/30/10,3.66
10,8,2,10/31/10,3.7
11,8,2,11/30/10,4.45
12,8,2,12/31/10,7.55
1,9,2,1/31/11,5.08
2,9,2,2/28/11,3.11
3,9,2,3/31/11,5.78
4,9,2,4/30/11,3.1
5,9,2,5/31/11,2.78
6,9,2,6/30/11,1.48
7,9,2,7/31/11,0.55
8,9,2,8/31/11,0.09
9,9,2,9/30/11,0.85
10,9,2,10/31/11,2.94
11,9,2,11/30/11,5.66
12,9,2,12/31/11,1.52
1,10,2,1/31/12,4.69
2,10,2,2/29/12,2.78
3,10,2,3/31/12,5.28
4,10,2,4/30/12,2.16
5,10,2,5/31/12,2.68
6,10,2,6/30/12,3.22
7,10,2,7/31/12,1.56
8,10,2,8/31/12,0
9,10,2,9/30/12,0.25
10,10,2,10/31/12,5.3
11,10,2,11/30/12,7.76
12,10,2,12/31/12,7.51
1,11,2,1/31/13,4.74
2,11,2,2/28/13,1.56
3,11,2,3/31/13,2.7
4,11,2,4/30/13,4.3
5,11,2,5/31/13,1.15
6,11,2,6/30/13,1.91
7,11,2,7/31/13,0.03
8,11,2,8/31/13,0.94
9,11,2,9/30/13,5.08
10,11,2,10/31/13,1.19
11,11,2,11/30/13,3.03
12,11,2,12/31/13,1.51
1,12,2,1/31/14,4.07
2,12,2,2/28/14,5.45
3,12,2,3/31/14,8.76
4,12,2,4/30/14,3.07
5,12,2,5/31/14,2.28
6,12,2,6/30/14,1.34
7,12,2,7/31/14,1.54
8,12,2,8/31/14,1.67
9,12,2,9/30/14,3.76
10,12,2,10/31/14,8.39
11,12,2,11/30/14,6.14
12,12,2,12/31/14,5.37
1,1,3,1/31/03,5.84
2,1,3,2/28/03,1.7
3,1,3,3/31/03,3.12
4,1,3,4/30/03,2.69
5,1,3,5/31/03,1.51
6,1,3,6/30/03,0.4
7,1,3,7/31/03,0.16
8,1,3,8/31/03,0.29
9,1,3,9/30/03,0.39
10,1,3,10/31/03,6.33
11,1,3,11/30/03,5.09
12,1,3,12/31/03,3.04
1,2,3,1/31/04,4.79
2,2,3,2/29/04,2.41
3,2,3,3/31/04,1.85
4,2,3,4/30/04,0.64
5,2,3,5/31/04,2.46
6,2,3,6/30/04,0.72
7,2,3,7/31/04,0.3
8,2,3,8/31/04,3.2
9,2,3,9/30/04,1.91
10,2,3,10/31/04,2.07
11,2,3,11/30/04,2.77
12,2,3,12/31/04,4.79
1,3,3,1/31/05,1.47
2,3,3,2/28/05,0.92
3,3,3,3/31/05,2.94
4,3,3,4/30/05,2.73
5,3,3,5/31/05,2.74
6,3,3,6/30/05,1.6
7,3,3,7/31/05,0.75
8,3,3,8/31/05,0.06
9,3,3,9/30/05,1.41
10,3,3,10/31/05,2.77
11,3,3,11/30/05,5.01
12,3,3,12/31/05,6.44
1,4,3,1/31/06,9.52
2,4,3,2/28/06,2.81
3,4,3,3/31/06,1.11
4,4,3,4/30/06,1.96
5,4,3,5/31/06,1.47
6,4,3,6/30/06,1.7
7,4,3,7/31/06,0.07
8,4,3,8/31/06,0.07
9,4,3,9/30/06,1.31
10,4,3,10/31/06,1.31
11,4,3,11/30/06,12.18
12,4,3,12/31/06,7.42
1,5,3,1/31/07,2.94
2,5,3,2/28/07,1.92
3,5,3,3/31/07,2.86
4,5,3,4/30/07,0.59
5,5,3,5/31/07,0
6,5,3,6/30/07,0
7,5,3,7/31/07,0.75
8,5,3,8/31/07,0.88
9,5,3,9/30/07,2.08
10,5,3,10/31/07,2.69
11,5,3,11/30/07,2.76
12,5,3,12/31/07,9.83
1,6,3,1/31/08,4.42
2,6,3,2/29/08,1.39
3,6,3,3/31/08,4.04
4,6,3,4/30/08,2.25
5,6,3,5/31/08,0.68
6,6,3,6/30/08,1.68
7,6,3,7/31/08,0.37
8,6,3,8/31/08,3.14
9,6,3,9/30/08,0.73
10,6,3,10/31/08,2.27
11,6,3,11/30/08,4.65
12,6,3,12/31/08,4
1,7,3,1/31/09,3.72
2,7,3,2/28/09,1.82
3,7,3,3/31/09,3.75
4,7,3,4/30/09,2.97
5,7,3,5/31/09,4.29
6,7,3,6/30/09,0.11
7,7,3,7/31/09,0.1
8,7,3,8/31/09,0.76
9,7,3,9/30/09,2.05
10,7,3,10/31/09,4.98
11,7,3,11/30/09,8.72
12,7,3,12/31/09,2.23
1,8,3,1/31/10,6.69
2,8,3,2/28/10,3.2
3,8,3,3/31/10,2.92
4,8,3,4/30/10,2.96
5,8,3,5/31/10,3.03
6,8,3,6/30/10,2.56
7,8,3,7/31/10,0.18
8,8,3,8/31/10,0.82
9,8,3,9/30/10,3.71
10,8,3,10/31/10,3.92
11,8,3,11/30/10,4.46
12,8,3,12/31/10,8.39
1,9,3,1/31/11,5
2,9,3,2/28/11,3.44
3,9,3,3/31/11,6.19
4,9,3,4/30/11,3.22
5,9,3,5/31/11,2.87
6,9,3,6/30/11,1.5
7,9,3,7/31/11,0.54
8,9,3,8/31/11,0.06
9,9,3,9/30/11,0.94
10,9,3,10/31/11,3.05
11,9,3,11/30/11,6.12
12,9,3,12/31/11,1.54
1,10,3,1/31/12,5.3
2,10,3,2/29/12,2.85
3,10,3,3/31/12,6.5
4,10,3,4/30/12,2.24
5,10,3,5/31/12,2.34
6,10,3,6/30/12,3.29
7,10,3,7/31/12,1.27
8,10,3,8/31/12,0
9,10,3,9/30/12,0.2
10,10,3,10/31/12,5.85
11,10,3,11/30/12,8.58
12,10,3,12/31/12,8.94
1,11,3,1/31/13,4.21
2,11,3,2/28/13,1.67
3,11,3,3/31/13,2.77
4,11,3,4/30/13,4.85
5,11,3,5/31/13,1.3
6,11,3,6/30/13,1.56
7,11,3,7/31/13,0.09
8,11,3,8/31/13,1.02
9,11,3,9/30/13,4.8
10,11,3,10/31/13,0.9
11,11,3,11/30/13,2.58
12,11,3,12/31/13,1.25
1,12,3,1/31/14,4.05
2,12,3,2/28/14,5.42
3,12,3,3/31/14,8.54
4,12,3,4/30/14,3.07
5,12,3,5/31/14,2.2
6,12,3,6/30/14,0.9
7,12,3,7/31/14,0.98
8,12,3,8/31/14,1.29
9,12,3,9/30/14,2.69
10,12,3,10/31/14,6.02
11,12,3,11/30/14,4.7
12,12,3,12/31/14,5.29
1,1,4,1/31/03,6.48
2,1,4,2/28/03,1.49
3,1,4,3/31/03,5.01
4,1,4,4/30/03,2.56
5,1,4,5/31/03,1.4
6,1,4,6/30/03,0.34
7,1,4,7/31/03,0.51
8,1,4,8/31/03,0.26
9,1,4,9/30/03,0.91
10,1,4,10/31/03,5.23
11,1,4,11/30/03,5.15
12,1,4,12/31/03,2.69
1,2,4,1/31/04,5.88
2,2,4,2/29/04,2.75
3,2,4,3/31/04,1.95
4,2,4,4/30/04,0.76
5,2,4,5/31/04,2.21
6,2,4,6/30/04,0.73
7,2,4,7/31/04,0.32
8,2,4,8/31/04,2.2
9,2,4,9/30/04,1.83
10,2,4,10/31/04,2.36
11,2,4,11/30/04,2.78
12,2,4,12/31/04,4.76
1,3,4,1/31/05,2.8
2,3,4,2/28/05,0.95
3,3,4,3/31/05,2.39
4,3,4,4/30/05,2.56
5,3,4,5/31/05,2.45
6,3,4,6/30/05,1.79
7,3,4,7/31/05,0.7
8,3,4,8/31/05,0.27
9,3,4,9/30/05,1.21
10,3,4,10/31/05,2.42
11,3,4,11/30/05,4.29
12,3,4,12/31/05,6.31
1,4,4,1/31/06,8.84
2,4,4,2/28/06,3.21
3,4,4,3/31/06,1.18
4,4,4,4/30/06,2.14
5,4,4,5/31/06,1.38
6,4,4,6/30/06,1.29
7,4,4,7/31/06,0.04
8,4,4,8/31/06,0.15
9,4,4,9/30/06,1.38
10,4,4,10/31/06,0.93
11,4,4,11/30/06,12.26
12,4,4,12/31/06,7.29
1,5,4,1/31/07,2.53
2,5,4,2/28/07,1.77
3,5,4,3/31/07,2.79
4,5,4,4/30/07,1.38
5,5,4,5/31/07,0.14
6,5,4,6/30/07,0.15
7,5,4,7/31/07,1.61
8,5,4,8/31/07,1.11
9,5,4,9/30/07,2.34
10,5,4,10/31/07,2.95
11,5,4,11/30/07,2.98
12,5,4,12/31/07,10.03
1,6,4,1/31/08,4.23
2,6,4,2/29/08,1.51
3,6,4,3/31/08,3.62
4,6,4,4/30/08,2.76
5,6,4,5/31/08,0.76
6,6,4,6/30/08,2.21
7,6,4,7/31/08,0.37
8,6,4,8/31/08,3.4
9,6,4,9/30/08,0.76
10,6,4,10/31/08,2.3
11,6,4,11/30/08,5.02
12,6,4,12/31/08,4.77
1,7,4,1/31/09,3.76
2,7,4,2/28/09,2.11
3,7,4,3/31/09,4.45
4,7,4,4/30/09,3.08
5,7,4,5/31/09,3.7
6,7,4,6/30/09,0.24
7,7,4,7/31/09,0.15
8,7,4,8/31/09,0.83
9,7,4,9/30/09,2.44
10,7,4,10/31/09,6.06
11,7,4,11/30/09,9.56
12,7,4,12/31/09,2.59
1,8,4,1/31/10,7.21
2,8,4,2/28/10,3.17
3,8,4,3/31/10,3.07
4,8,4,4/30/10,3.02
5,8,4,5/31/10,3.66
6,8,4,6/30/10,2.42
7,8,4,7/31/10,0.14
8,8,4,8/31/10,0.73
9,8,4,9/30/10,4.02
10,8,4,10/31/10,3.76
11,8,4,11/30/10,4.97
12,8,4,12/31/10,8.02
1,9,4,1/31/11,4.9
2,9,4,2/28/11,3.33
3,9,4,3/31/11,6.63
4,9,4,4/30/11,3.24
5,9,4,5/31/11,3.01
6,9,4,6/30/11,1.24
7,9,4,7/31/11,0.65
8,9,4,8/31/11,0.09
9,9,4,9/30/11,1.02
10,9,4,10/31/11,3.27
11,9,4,11/30/11,6.68
12,9,4,12/31/11,1.69
1,10,4,1/31/12,5.26
2,10,4,2/29/12,3
3,10,4,3/31/12,5.93
4,10,4,4/30/12,2.2
5,10,4,5/31/12,2.1
6,10,4,6/30/12,3.42
7,10,4,7/31/12,1.76
8,10,4,8/31/12,0
9,10,4,9/30/12,0.27
10,10,4,10/31/12,5.85
11,10,4,11/30/12,7.96
12,10,4,12/31/12,8.53
1,11,4,1/31/13,4.54
2,11,4,2/28/13,1.67
3,11,4,3/31/13,2.79
4,11,4,4/30/13,4.86
5,11,4,5/31/13,1.54
6,11,4,6/30/13,2.23
7,11,4,7/31/13,0.11
8,11,4,8/31/13,0.99
9,11,4,9/30/13,4.91
10,11,4,10/31/13,0.98
11,11,4,11/30/13,3.04
12,11,4,12/31/13,1.52
1,12,4,1/31/14,4.07
2,12,4,2/28/14,5.12
3,12,4,3/31/14,8.69
4,12,4,4/30/14,3.37
5,12,4,5/31/14,2.45
6,12,4,6/30/14,1.16
7,12,4,7/31/14,1.33
8,12,4,8/31/14,1.64
9,12,4,9/30/14,2.64
10,12,4,10/31/14,6.89
11,12,4,11/30/14,4.56
12,12,4,12/31/14,5.5
1,1,5,1/31/03,7.57
2,1,5,2/28/03,1.11
3,1,5,3/31/03,5.09
4,1,5,4/30/03,2.2
5,1,5,5/31/03,0.43
6,1,5,6/30/03,0.57
7,1,5,7/31/03,0.17
8,1,5,8/31/03,0.37
9,1,5,9/30/03,0.66
10,1,5,10/31/03,6.59
11,1,5,11/30/03,5.76
12,1,5,12/31/03,3.14
1,2,5,1/31/04,4.81
2,2,5,2/29/04,2.65
3,2,5,3/31/04,1.68
4,2,5,4/30/04,0.38
5,2,5,5/31/04,1.94
6,2,5,6/30/04,0.57
7,2,5,7/31/04,0.3
8,2,5,8/31/04,2.89
9,2,5,9/30/04,2.24
10,2,5,10/31/04,2
11,2,5,11/30/04,1.05
12,2,5,12/31/04,4.2
1,3,5,1/31/05,3.82
2,3,5,2/28/05,1.1
3,3,5,3/31/05,3.32
4,3,5,4/30/05,4.03
5,3,5,5/31/05,3.4
6,3,5,6/30/05,2.01
7,3,5,7/31/05,0.75
8,3,5,8/31/05,0.57
9,3,5,9/30/05,0.33
10,3,5,10/31/05,2.15
11,3,5,11/30/05,4.13
12,3,5,12/31/05,6.02
1,4,5,1/31/06,9.3
2,4,5,2/28/06,2.86
3,4,5,3/31/06,1.39
4,4,5,4/30/06,1.9
5,4,5,5/31/06,0.99
6,4,5,6/30/06,1.56
7,4,5,7/31/06,0.1
8,4,5,8/31/06,0.04
9,4,5,9/30/06,1.56
10,4,5,10/31/06,0.65
11,4,5,11/30/06,11.78
12,4,5,12/31/06,8.56
1,5,5,1/31/07,3.93
2,5,5,2/28/07,1.26
3,5,5,3/31/07,2
4,5,5,4/30/07,0
5,5,5,5/31/07,0.01
6,5,5,6/30/07,0.63
7,5,5,7/31/07,1.42
8,5,5,8/31/07,1.16
9,5,5,9/30/07,2.31
10,5,5,10/31/07,2.1
11,5,5,11/30/07,2.94
12,5,5,12/31/07,9.59
1,6,5,1/31/08,3.45
2,6,5,2/29/08,0.94
3,6,5,3/31/08,3.08
4,6,5,4/30/08,1.65
5,6,5,5/31/08,0.63
6,6,5,6/30/08,1.57
7,6,5,7/31/08,0.2
8,6,5,8/31/08,2.65
9,6,5,9/30/08,0.51
10,6,5,10/31/08,2.08
11,6,5,11/30/08,5.18
12,6,5,12/31/08,3.96
1,7,5,1/31/09,4.53
2,7,5,2/28/09,1.4
3,7,5,3/31/09,3.14
4,7,5,4/30/09,2.96
5,7,5,5/31/09,3.82
6,7,5,6/30/09,0.24
7,7,5,7/31/09,0.11
8,7,5,8/31/09,0.96
9,7,5,9/30/09,1.87
10,7,5,10/31/09,4.92
11,7,5,11/30/09,9.13
12,7,5,12/31/09,2.77
1,8,5,1/31/10,7.12
2,8,5,2/28/10,3.64
3,8,5,3/31/10,3.03
4,8,5,4/30/10,3.65
5,8,5,5/31/10,2.97
6,8,5,6/30/10,2.09
7,8,5,7/31/10,0.18
8,8,5,8/31/10,0.64
9,8,5,9/30/10,4.18
10,8,5,10/31/10,4.71
11,8,5,11/30/10,4.63
12,8,5,12/31/10,8.78
1,9,5,1/31/11,4.5
2,9,5,2/28/11,2.95
3,9,5,3/31/11,6.26
4,9,5,4/30/11,3.41
5,9,5,5/31/11,3.16
6,9,5,6/30/11,0.79
7,9,5,7/31/11,0.82
8,9,5,8/31/11,0.06
9,9,5,9/30/11,1.34
10,9,5,10/31/11,2.54
11,9,5,11/30/11,5.14
12,9,5,12/31/11,2.07
1,10,5,1/31/12,5.72
2,10,5,2/29/12,2.87
3,10,5,3/31/12,6.08
4,10,5,4/30/12,2.42
5,10,5,5/31/12,2.11
6,10,5,6/30/12,2.21
7,10,5,7/31/12,1.08
8,10,5,8/31/12,0
9,10,5,9/30/12,0.03
10,10,5,10/31/12,6.32
11,10,5,11/30/12,7.71
12,10,5,12/31/12,7.9
1,11,5,1/31/13,2.83
2,11,5,2/28/13,1.49
3,11,5,3/31/13,2.46
4,11,5,4/30/13,3.72
5,11,5,5/31/13,1.68
6,11,5,6/30/13,1.2
7,11,5,7/31/13,0
8,11,5,8/31/13,0.92
9,11,5,9/30/13,5.33
10,11,5,10/31/13,1.52
11,11,5,11/30/13,2.83
12,11,5,12/31/13,1.01
1,12,5,1/31/14,3.4
2,12,5,2/28/14,5.55
3,12,5,3/31/14,7.93
4,12,5,4/30/14,2.65
5,12,5,5/31/14,2.4
6,12,5,6/30/14,0.54
7,12,5,7/31/14,0.57
8,12,5,8/31/14,1.21
9,12,5,9/30/14,1.96
10,12,5,10/31/14,6.58
11,12,5,11/30/14,4.46
12,12,5,12/31/14,5.42
1,1,6,1/31/03,4.47
2,1,6,2/28/03,1.5
3,1,6,3/31/03,5.15
4,1,6,4/30/03,2.49
5,1,6,5/31/03,1.59
6,1,6,6/30/03,0.94
7,1,6,7/31/03,0.89
8,1,6,8/31/03,1.33
9,1,6,9/30/03,1.92
10,1,6,10/31/03,6.72
11,1,6,11/30/03,6.47
12,1,6,12/31/03,4.68
1,2,6,1/31/04,5.43
2,2,6,2/29/04,2.08
3,2,6,3/31/04,1.72
4,2,6,4/30/04,0.55
5,2,6,5/31/04,2.31
6,2,6,6/30/04,0.36
7,2,6,7/31/04,0.24
8,2,6,8/31/04,3.03
9,2,6,9/30/04,1.93
10,2,6,10/31/04,2.53
11,2,6,11/30/04,2.49
12,2,6,12/31/04,5.02
1,3,6,1/31/05,2.86
2,3,6,2/28/05,0.93
3,3,6,3/31/05,2.79
4,3,6,4/30/05,2.61
5,3,6,5/31/05,2.44
6,3,6,6/30/05,2
7,3,6,7/31/05,0.56
8,3,6,8/31/05,0.18
9,3,6,9/30/05,1.06
10,3,6,10/31/05,2.38
11,3,6,11/30/05,4.45
12,3,6,12/31/05,6.94
1,4,6,1/31/06,9.07
2,4,6,2/28/06,2.82
3,4,6,3/31/06,1.11
4,4,6,4/30/06,1.89
5,4,6,5/31/06,1.09
6,4,6,6/30/06,1.23
7,4,6,7/31/06,0.12
8,4,6,8/31/06,0.11
9,4,6,9/30/06,1.06
10,4,6,10/31/06,1.45
11,4,6,11/30/06,10.83
12,4,6,12/31/06,6.91
1,5,6,1/31/07,3.03
2,5,6,2/28/07,1.4
3,5,6,3/31/07,2.62
4,5,6,4/30/07,0.95
5,5,6,5/31/07,0.1
6,5,6,6/30/07,0.5
7,5,6,7/31/07,1.45
8,5,6,8/31/07,1.04
9,5,6,9/30/07,1.99
10,5,6,10/31/07,3
11,5,6,11/30/07,2.87
12,5,6,12/31/07,9.96
1,6,6,1/31/08,4.14
2,6,6,2/29/08,1.24
3,6,6,3/31/08,3.77
4,6,6,4/30/08,2.53
5,6,6,5/31/08,0.71
6,6,6,6/30/08,2.1
7,6,6,7/31/08,0.4
8,6,6,8/31/08,3.17
9,6,6,9/30/08,0.81
10,6,6,10/31/08,1.99
11,6,6,11/30/08,4.81
12,6,6,12/31/08,3.85
1,7,6,1/31/09,3.3
2,7,6,2/28/09,1.8
3,7,6,3/31/09,4.19
4,7,6,4/30/09,2.73
5,7,6,5/31/09,4.12
6,7,6,6/30/09,0.27
7,7,6,7/31/09,0.12
8,7,6,8/31/09,0.77
9,7,6,9/30/09,2.4
10,7,6,10/31/09,5.25
11,7,6,11/30/09,10.84
12,7,6,12/31/09,2.95
1,8,6,1/31/10,7.37
2,8,6,2/28/10,3.9
3,8,6,3/31/10,3.34
4,8,6,4/30/10,3.25
5,8,6,5/31/10,3.32
6,8,6,6/30/10,2.5
7,8,6,7/31/10,0.12
8,8,6,8/31/10,0.76
9,8,6,9/30/10,3.44
10,8,6,10/31/10,3.52
11,8,6,11/30/10,4.69
12,8,6,12/31/10,8.93
1,9,6,1/31/11,4.3
2,9,6,2/28/11,3.88
3,9,6,3/31/11,8.08
4,9,6,4/30/11,3.32
5,9,6,5/31/11,3.2
6,9,6,6/30/11,1.23
7,9,6,7/31/11,1.06
8,9,6,8/31/11,0.05
9,9,6,9/30/11,1.04
10,9,6,10/31/11,3.23
11,9,6,11/30/11,6.37
12,9,6,12/31/11,1.68
1,10,6,1/31/12,4.92
2,10,6,2/29/12,2.97
3,10,6,3/31/12,6.35
4,10,6,4/30/12,2.19
5,10,6,5/31/12,1.84
6,10,6,6/30/12,3.15
7,10,6,7/31/12,2.65
8,10,6,8/31/12,0
9,10,6,9/30/12,0.38
10,10,6,10/31/12,6.18
11,10,6,11/30/12,9.18
12,10,6,12/31/12,9.99
1,11,6,1/31/13,4.33
2,11,6,2/28/13,1.82
3,11,6,3/31/13,2.8
4,11,6,4/30/13,4.98
5,11,6,5/31/13,1.57
6,11,6,6/30/13,2.1
7,11,6,7/31/13,0
8,11,6,8/31/13,1.08
9,11,6,9/30/13,4.88
10,11,6,10/31/13,0.98
11,11,6,11/30/13,2.79
12,11,6,12/31/13,1.11
1,12,6,1/31/14,4.39
2,12,6,2/28/14,5.62
3,12,6,3/31/14,8.8
4,12,6,4/30/14,3.22
5,12,6,5/31/14,2.25
6,12,6,6/30/14,1.11
7,12,6,7/31/14,1.02
8,12,6,8/31/14,1.46
9,12,6,9/30/14,2.67
10,12,6,10/31/14,6.54
11,12,6,11/30/14,4.86
12,12,6,12/31/14,6.26
1,1,7,1/31/03,7.39
2,1,7,2/28/03,1.56
3,1,7,3/31/03,5.14
4,1,7,4/30/03,2.5
5,1,7,5/31/03,0.98
6,1,7,6/30/03,0.75
7,1,7,7/31/03,0.21
8,1,7,8/31/03,0.57
9,1,7,9/30/03,0.63
10,1,7,10/31/03,6.99
11,1,7,11/30/03,5.93
12,1,7,12/31/03,4.58
